Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 08/09/2026 09:44:54 GB00BDCPN049 USD $106.9450 25 IEXG VHTG587820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:44:54 GB00BDCPN049 USD $106.9450 25 NASD VHTG587620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:44:54 GB00BDCPN049 USD $106.9450 25 NASD VHTG587720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9550 25 IEXG VHTG602920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9700 25 IEXG VHTG602520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9800 70 IEXG VHTG603120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9800 25 IEXG VHTG603220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9800 70 IEXG VHTG603320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9800 17 IEXG VHTG603420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9550 100 NASD VHTG602720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9550 100 PCSE VHTG602820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:08 GB00BDCPN049 USD $106.9700 50 PCSE VHTG602620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:18 GB00BDCPN049 USD $106.9800 1 EDGX VHTG615020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:18 GB00BDCPN049 USD $107.0100 38 IEXG VHTG615120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:19 GB00BDCPN049 USD $106.9800 7 NASD VHTG615420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:47 GB00BDCPN049 USD $107.0500 13 PCSE VHTG641520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:45:56 GB00BDCPN049 USD $107.0500 1 PCSE VHTG645520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:11 GB00BDCPN049 USD $107.0600 100 IEXG VHTG663020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:11 GB00BDCPN049 USD $107.0600 2 IEXG VHTG663220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:11 GB00BDCPN049 USD $107.0600 37 IEXG VHTG663320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:11 GB00BDCPN049 USD $107.0600 100 PCSE VHTG663120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:19 GB00BDCPN049 USD $107.0600 4 UBSS VHTG670920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:24 GB00BDCPN049 USD $107.0600 25 IEXG VHTG672420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:29 GB00BDCPN049 USD $107.0600 8 INCR VHTG673920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:29 GB00BDCPN049 USD $107.0600 44 INCR VHTG674020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1400 100 BAML VHTG685020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1400 100 BATS VHTG684720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1400 100 EDGX VHTG684620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1600 25 IEXG VHTG685120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1600 17 IEXG VHTG685220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1400 100 NASD VHTG684820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:45 GB00BDCPN049 USD $107.1400 51 UBSS VHTG684920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.0800 5 NASD VHTG708320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.0800 95 NASD VHTG708420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.1000 5 PCSE VHTG707920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.1000 20 PCSE VHTG708020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.1000 13 PCSE VHTG708120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:46:57 GB00BDCPN049 USD $107.1000 42 PCSE VHTG708220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:47:01 GB00BDCPN049 USD $107.0500 60 MEMX VHTG709820260908E
