Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 19 BATS VHTG174220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 8 BATS VHTG174420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 9 NASD VHTG173820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 9 NASD VHTG173920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 37 NASD VHTG174320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 68 UBSS VHTG174020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 3 UBSS VHTG174120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:16 GB00BDCPN049 USD $106.5300 64 UBSS VHTG174520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:33 GB00BDCPN049 USD $106.4700 25 PCSE VHTG181120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:33 GB00BDCPN049 USD $106.4700 15 PCSE VHTG181220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 100 BATS VHTG210820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 100 EDGX VHTG210920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4200 40 IEXG VHTG211420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 3 NASD VHTG211120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 97 NASD VHTG211320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 50 UBSS VHTG211020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:04 GB00BDCPN049 USD $106.4300 50 UBSS VHTG211220260727E
# Classification - Internal
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:08 GB00BDCPN049 USD $106.4200 1 BATS VHTG212920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:08 GB00BDCPN049 USD $106.4200 1 BATS VHTG213020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:09 GB00BDCPN049 USD $106.4200 100 NASD VHTG213620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 50 BATS VHTG220920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 1 BATS VHTG221020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 25 BATS VHTG221220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 24 BATS VHTG221320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 2 BATS VHTG221620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 25 NASD VHTG221120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 25 NASD VHTG221420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:29 GB00BDCPN049 USD $106.3900 25 NASD VHTG221520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:35:35 GB00BDCPN049 USD $106.3500 40 NASD VHTG223220260727E
