Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
# Classification - Internal
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 10 UBSS VHTG252420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 3 UBSS VHTG252520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 6 UBSS VHTG253020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:56 GB00BDCPN049 USD $105.2400 1 IEXG VHTG266420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2200 25 IEXG VHTG268120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2200 24 IEXG VHTG268220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2300 25 IEXG VHTG267220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2300 25 IEXG VHTG267320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2300 25 IEXG VHTG267420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2300 25 IEXG VHTG267720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 48 IEXG VHTG267120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 3 IEXG VHTG267820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 36 IEXG VHTG267920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 31 IEXG VHTG268020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 7 UBSS VHTG267520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:58 GB00BDCPN049 USD $105.2400 13 UBSS VHTG267620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:35:01 GB00BDCPN049 USD $105.2100 37 UBSS VHTG268520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:35:16 GB00BDCPN049 USD $105.0500 5 UBSS VHTG277420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:35:27 GB00BDCPN049 USD $105.0850 1 UBSS VHTG283220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:35:37 GB00BDCPN049 USD $105.1300 5 UBSS VHTG286920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:12 GB00BDCPN049 USD $105.1550 100 INCR VHTG311620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:13 GB00BDCPN049 USD $105.1500 48 UBSS VHTG311920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:13 GB00BDCPN049 USD $105.1550 100 UBSS VHTG311720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:13 GB00BDCPN049 USD $105.1550 100 UBSS VHTG311820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:16 GB00BDCPN049 USD $105.0500 2 NASD VHTG312920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:16 GB00BDCPN049 USD $105.0900 25 NYSE VHTG313020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:16 GB00BDCPN049 USD $105.0900 15 NYSE VHTG313120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:17 GB00BDCPN049 USD $105.0500 2 NASD VHTG313520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:17 GB00BDCPN049 USD $105.0500 2 NASD VHTG313620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:17 GB00BDCPN049 USD $105.0500 2 NASD VHTG313820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:17 GB00BDCPN049 USD $105.0500 2 NASD VHTG313920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:17 GB00BDCPN049 USD $105.0500 2 NASD VHTG314020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:23 GB00BDCPN049 USD $105.1200 20 INCR VHTG318120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:23 GB00BDCPN049 USD $105.1200 5 UBSS VHTG318220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:32 GB00BDCPN049 USD $105.1350 13 UBSS VHTG322820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:32 GB00BDCPN049 USD $105.1350 13 UBSS VHTG322920260720E
