Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:01 GB00BDCPN049 USD $106.7700 67 UBSS VHTG290120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:01 GB00BDCPN049 USD $106.7850 33 UBSS VHTG290020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:46 GB00BDCPN049 USD $106.8900 13 UBSS VHTG309720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:46 GB00BDCPN049 USD $106.8900 6 UBSS VHTG309820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:49 GB00BDCPN049 USD $106.8200 25 NASD VHTG311120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:49 GB00BDCPN049 USD $106.8200 15 NASD VHTG311220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:49 GB00BDCPN049 USD $106.8500 25 NASD VHTG310620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:40:49 GB00BDCPN049 USD $106.8500 15 NASD VHTG311020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:41:57 GB00BDCPN049 USD $107.0150 40 CGXS VHTG327320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:41:58 GB00BDCPN049 USD $107.0100 13 UBSS VHTG327820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:41:58 GB00BDCPN049 USD $107.0100 13 UBSS VHTG327920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:41:58 GB00BDCPN049 USD $107.0100 13 UBSS VHTG328020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:00 GB00BDCPN049 USD $106.9900 20 NASD VHTG328320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:00 GB00BDCPN049 USD $106.9900 20 NASD VHTG328420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:00 GB00BDCPN049 USD $106.9900 100 UBSS VHTG328620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:00 GB00BDCPN049 USD $107.0100 2 UBSS VHTG328520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:07 GB00BDCPN049 USD $106.9500 25 PCSE VHTG332120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:07 GB00BDCPN049 USD $106.9500 15 PCSE VHTG332220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:42:38 GB00BDCPN049 USD $107.0500 20 BATS VHTG339620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:43:10 GB00BDCPN049 USD $107.0100 20 MEMX VHTG349120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:43:11 GB00BDCPN049 USD $106.9800 20 NYSE VHTG349520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:43:53 GB00BDCPN049 USD $107.0200 4 UBSS VHTG374420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:43:58 GB00BDCPN049 USD $106.9800 25 NASD VHTG375520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:43:58 GB00BDCPN049 USD $106.9800 15 NASD VHTG375620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:44:14 GB00BDCPN049 USD $106.9500 20 BATS VHTG386720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:44:16 GB00BDCPN049 USD $106.9000 40 NASD VHTG387920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:44:47 GB00BDCPN049 USD $106.9500 23 UBSS VHTG394720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:44:57 GB00BDCPN049 USD $106.9100 40 BATS VHTG400320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:10 GB00BDCPN049 USD $106.9300 25 MEMX VHTG407120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:10 GB00BDCPN049 USD $106.9300 15 MEMX VHTG407220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:21 GB00BDCPN049 USD $106.9000 25 BATS VHTG415020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:21 GB00BDCPN049 USD $106.9000 15 BATS VHTG415120260810E
