Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:10 GB00BDCPN049 USD $108.2450 16 UBSS VHTG147820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:10 GB00BDCPN049 USD $108.2450 24 UBSS VHTG147920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:10 GB00BDCPN049 USD $108.2800 21 UBSS VHTG148620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:14 GB00BDCPN049 USD $108.2600 15 NASD VHTG151620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:25 GB00BDCPN049 USD $108.2300 2 BAML VHTG155920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:25 GB00BDCPN049 USD $108.2200 18 NASD VHTG155820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:30 GB00BDCPN049 USD $108.1800 25 MEMX VHTG158320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:30 GB00BDCPN049 USD $108.1800 25 MEMX VHTG158420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:30 GB00BDCPN049 USD $108.1800 10 MEMX VHTG158520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:41 GB00BDCPN049 USD $108.1500 25 BATS VHTG162320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:41 GB00BDCPN049 USD $108.1500 25 BATS VHTG162420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:41 GB00BDCPN049 USD $108.1500 25 BATS VHTG162520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG183620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG183720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG183820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG183920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 6 UBSS VHTG184520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 7 UBSS VHTG184620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG184920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG185020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 13 UBSS VHTG185120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:01 GB00BDCPN049 USD $108.1900 1 UBSS VHTG185220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:44:30 GB00BDCPN049 USD $108.1700 2 UBSS VHTG193620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:45:18 GB00BDCPN049 USD $108.4150 30 IEXG VHTG206220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:07 GB00BDCPN049 USD $108.3500 25 IEXG VHTG220420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:07 GB00BDCPN049 USD $108.3500 25 IEXG VHTG220520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:18 GB00BDCPN049 USD $108.3500 25 IEXG VHTG224220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:18 GB00BDCPN049 USD $108.3500 25 IEXG VHTG224320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:26 GB00BDCPN049 USD $108.3400 25 BATS VHTG227420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:26 GB00BDCPN049 USD $108.3400 35 BATS VHTG227520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:46:26 GB00BDCPN049 USD $108.3500 100 UBSS VHTG227620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:47:06 GB00BDCPN049 USD $108.2800 25 NASD VHTG238220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:47:06 GB00BDCPN049 USD $108.2800 25 NASD VHTG238320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:47:06 GB00BDCPN049 USD $108.2800 25 NASD VHTG238420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:47:06 GB00BDCPN049 USD $108.2800 5 NASD VHTG238520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:47:18 GB00BDCPN049 USD $108.2450 42 UBSS VHTG241620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:07 GB00BDCPN049 USD $108.3550 100 IEXG VHTG267120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:09 GB00BDCPN049 USD $108.3800 23 UBSS VHTG267820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270720260831E
