Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:55 GB00BDCPN049 USD $109.9100 20 NASD VHTG2549420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:57 GB00BDCPN049 USD $109.8500 1 NASD VHTG2551120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:57 GB00BDCPN049 USD $109.8800 20 PCSE VHTG2551220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:00 GB00BDCPN049 USD $109.8500 1 NASD VHTG2553820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:02 GB00BDCPN049 USD $109.8500 25 NASD VHTG2556220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:02 GB00BDCPN049 USD $109.8500 13 NASD VHTG2556320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:34 GB00BDCPN049 USD $109.8300 20 EDGA VHTG2574420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:34 GB00BDCPN049 USD $109.8300 13 UBSS VHTG2574020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:34 GB00BDCPN049 USD $109.8300 13 UBSS VHTG2574120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:34 GB00BDCPN049 USD $109.8300 2 UBSS VHTG2574220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:35 GB00BDCPN049 USD $109.8000 20 MEMX VHTG2575820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:52 GB00BDCPN049 USD $109.7100 25 NYSE VHTG2584820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:52 GB00BDCPN049 USD $109.7100 15 NYSE VHTG2584920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:39:52 GB00BDCPN049 USD $109.7250 2 UBSS VHTG2584420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:22 GB00BDCPN049 USD $109.8300 13 UBSS VHTG2604720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:22 GB00BDCPN049 USD $109.8300 13 UBSS VHTG2604820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:22 GB00BDCPN049 USD $109.8300 13 UBSS VHTG2604920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8800 2 EDGA VHTG2616120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8800 38 EDGA VHTG2616220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8500 25 NASD VHTG2616320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8500 15 NASD VHTG2616420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8900 8 UBSS VHTG2615920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:37 GB00BDCPN049 USD $109.8900 35 UBSS VHTG2616020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:54 GB00BDCPN049 USD $109.8000 40 EDGA VHTG2626520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:54 GB00BDCPN049 USD $109.7700 25 PCSE VHTG2626620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:40:54 GB00BDCPN049 USD $109.7700 15 PCSE VHTG2627120260803E
