Smith & Nephew plc
Date of transaction: 29 November 2016
29-Nov-2016 15:18:33 GMT 52 1122.0000 GBp XLON
29-Nov-2016 15:18:33 GMT 2817 1122.0000 GBp XLON
29-Nov-2016 10:17:11 GMT 242 1115.0000 GBp XLON
29-Nov-2016 15:18:33 GMT 1961 1122.0000 GBp XLON
29-Nov-2016 10:17:11 GMT 214 1115.0000 GBp XLON
29-Nov-2016 10:17:11 GMT 800 1115.0000 GBp XLON
29-Nov-2016 15:06:04 GMT 522 1123.0000 GBp XLON
29-Nov-2016 15:33:58 GMT 356 1123.0000 GBp XLON
29-Nov-2016 15:33:58 GMT 578 1123.0000 GBp XLON
29-Nov-2016 15:33:58 GMT 800 1123.0000 GBp XLON
29-Nov-2016 09:59:42 GMT 1026 1119.0000 GBp XLON
29-Nov-2016 09:59:42 GMT 58 1119.0000 GBp XLON
29-Nov-2016 13:57:16 GMT 286 1120.0000 GBp XLON
29-Nov-2016 13:57:16 GMT 286 1120.0000 GBp XLON
29-Nov-2016 13:57:16 GMT 96 1120.0000 GBp XLON
29-Nov-2016 13:57:16 GMT 286 1120.0000 GBp XLON
29-Nov-2016 13:57:16 GMT 713 1120.0000 GBp XLON
29-Nov-2016 16:23:40 GMT 1308 1124.0000 GBp XLON
29-Nov-2016 11:07:11 GMT 1235 1115.0000 GBp XLON
29-Nov-2016 11:07:11 GMT 1764 1115.0000 GBp XLON
29-Nov-2016 11:07:11 GMT 529 1115.0000 GBp XLON
29-Nov-2016 09:39:43 GMT 966 1120.0000 GBp XLON
29-Nov-2016 15:20:49 GMT 367 1122.0000 GBp XLON
29-Nov-2016 15:20:49 GMT 180 1122.0000 GBp XLON
29-Nov-2016 15:20:49 GMT 800 1122.0000 GBp XLON
29-Nov-2016 15:20:49 GMT 186 1122.0000 GBp XLON
29-Nov-2016 15:20:49 GMT 286 1122.0000 GBp XLON
29-Nov-2016 10:13:42 GMT 179 1116.0000 GBp XLON
29-Nov-2016 10:13:42 GMT 787 1116.0000 GBp XLON
29-Nov-2016 14:04:19 GMT 140 1120.0000 GBp XLON
29-Nov-2016 14:04:19 GMT 1016 1120.0000 GBp XLON
29-Nov-2016 14:20:08 GMT 313 1119.0000 GBp XLON
29-Nov-2016 14:20:08 GMT 750 1119.0000 GBp XLON
29-Nov-2016 09:51:37 GMT 1068 1119.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 984 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 973 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 992 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 974 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 1820 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 325 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 2941 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 971 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 982 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 991 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 967 1123.0000 GBp XLON
29-Nov-2016 09:12:11 GMT 1063 1118.0000 GBp XLON
29-Nov-2016 14:25:32 GMT 800 1120.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 166 1122.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 456 1122.0000 GBp XLON
29-Nov-2016 14:25:32 GMT 200 1120.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 700 1122.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 800 1122.0000 GBp XLON
29-Nov-2016 14:25:32 GMT 175 1120.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 117 1122.0000 GBp XLON
29-Nov-2016 14:25:32 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:25:32 GMT 286 1120.0000 GBp XLON
29-Nov-2016 15:23:18 GMT 200 1122.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 35 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 287 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 181 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 287 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 750 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 286 1120.0000 GBp XLON
29-Nov-2016 09:32:11 GMT 485 1120.0000 GBp XLON
29-Nov-2016 10:42:11 GMT 750 1116.0000 GBp XLON
29-Nov-2016 10:42:11 GMT 490 1116.0000 GBp XLON
29-Nov-2016 15:03:07 GMT 268 1121.0000 GBp XLON
29-Nov-2016 15:36:02 GMT 300 1123.0000 GBp XLON
29-Nov-2016 15:36:02 GMT 800 1123.0000 GBp XLON
29-Nov-2016 15:36:02 GMT 1357 1123.0000 GBp XLON
29-Nov-2016 15:36:02 GMT 33 1123.0000 GBp XLON
29-Nov-2016 15:36:02 GMT 240 1123.0000 GBp XLON
29-Nov-2016 15:03:07 GMT 286 1121.0000 GBp XLON
29-Nov-2016 15:03:07 GMT 286 1121.0000 GBp XLON
29-Nov-2016 15:03:07 GMT 687 1121.0000 GBp XLON
29-Nov-2016 15:03:07 GMT 820 1121.0000 GBp XLON
29-Nov-2016 09:35:31 GMT 1103 1121.0000 GBp XLON
29-Nov-2016 16:18:49 GMT 4948 1124.0000 GBp XLON
29-Nov-2016 09:35:31 GMT 56 1121.0000 GBp XLON
29-Nov-2016 12:57:35 GMT 489 1120.0000 GBp XLON
29-Nov-2016 10:20:42 GMT 36 1114.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 175 1119.0000 GBp XLON
29-Nov-2016 14:33:53 GMT 1297 1120.0000 GBp XLON
29-Nov-2016 14:33:53 GMT 1000 1120.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 846 1119.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 1063 1119.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 800 1119.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 541 1119.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 5 1119.0000 GBp XLON
29-Nov-2016 11:38:31 GMT 820 1119.0000 GBp XLON
29-Nov-2016 13:38:52 GMT 35 1121.0000 GBp XLON
