ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
DTE.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
ENEL.MI,euro_stoxx50,,true,,,,,Borsa Italiana,exchange_allowlist,assumed,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-22
ENI.MI,euro_stoxx50,IT0003132476,true,ENI_BE_EQ,IT0003132476,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
EL.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
RACE.MI,euro_stoxx50,NL0011585146,true,RACE_US_EQ,NL0011585146,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
RMS.PA,euro_stoxx50,FR0000052292,true,RMSp_EQ,FR0000052292,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
IBE.MC,euro_stoxx50,ES0144580Y14,true,IBEe_EQ,ES0144580Y14,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ITX.MC,euro_stoxx50,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
IFX.DE,euro_stoxx50,DE0006231004,true,IFXd_EQ,DE0006231004,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
INGA.AS,euro_stoxx50,NL0011821202,true,INGAa_EQ,NL0011821202,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ISP.MI,euro_stoxx50,,true,,,,,Borsa Italiana,exchange_allowlist,assumed,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-22
OR.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
MC.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
MBG.DE,euro_stoxx50,DE0007100000,true,DAId_EQ,DE0007100000,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MUV2.DE,euro_stoxx50,DE0008430026,true,MUV2d_EQ,DE0008430026,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
NDA-FI.HE,euro_stoxx50,,false,,,,,Nasdaq Helsinki,exception,curated,Nasdaq Helsinki,false,n/a,curated,exception,Nordea Helsinki listing — confirm against T212 catalogue before treating as tradable; kept non-tradable until a catalogue hit exists.,2026-07-22
PRX.AS,euro_stoxx50,NL0013654783,true,PRXa_EQ,NL0013654783,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RHM.DE,euro_stoxx50,DE0007030009,true,RHMd_EQ,DE0007030009,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SAF.PA,euro_stoxx50,FR0000073272,true,SAFp_EQ,FR0000073272,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SGO.PA,euro_stoxx50,FR0000125007,true,SGOp_EQ,FR0000125007,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SAN.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
SAP.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
SU.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
SIE.DE,euro_stoxx50,DE0007236101,true,SIEd_EQ,DE0007236101,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ENR.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
TTE.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
DG.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
UCG.MI,euro_stoxx50,,true,,,,,Borsa Italiana,exchange_allowlist,assumed,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-22
VOW.DE,euro_stoxx50,DE0007664005,true,VOWd_EQ,DE0007664005,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
WKL.AS,euro_stoxx50,NL0000395903,true,WKLa_EQ,NL0000395903,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
