ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
CNE.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CARD.L,ftse_smallcap,GB00BLY2F708,true,CARDl_EQ,GB00BLY2F708,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CLIG.L,ftse_smallcap,GB00B104RS51,true,CLIGl_EQ,GB00B104RS51,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CLI.L,ftse_smallcap,GB00BF044593,true,CLIl_EQ,GB00BF044593,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CYN.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CTPE.L,ftse_smallcap,GB0030738271,true,BPETl_EQ,GB0030738271,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CREI.L,ftse_smallcap,GB00BJFLFT45,true,CREIl_EQ,GB00BJFLFT45,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DFS.L,ftse_smallcap,GB00BTC0LB89,true,DFSl_EQ,GB00BTC0LB89,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DGI9.L,ftse_smallcap,JE00BPH3HM76,true,DGI9l_EQ,JE00BPH3HM76,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ENQ.L,ftse_smallcap,GB00B635TG28,true,ENQl_EQ,GB00B635TG28,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
EVOK.L,ftse_smallcap,GI000A0F6407,true,888l_EQ,GI000A0F6407,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
FAS.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
FJV.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
