ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
C5H.IR,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=387.0%', 'earnings growth: growth=49.8%', 'reasonable P/E: P/E=12.3']",[],
C5H.IR,magic_formula,Magic Formula,True,0.7262,"['earnings yield rank 67%', 'ROIC rank 79%']",[],
C5H.IR,acquirers_multiple,Acquirer's Multiple,True,0.6667,"['EV/EBIT=10.5', 'universe rank 67%']",[],
C5H.IR,dreman_contrarian,Dreman Contrarian,True,0.5905,"['low P/E rank 83%', 'dividend rank 59%']",['P/B not cheap vs universe'],
C5H.IR,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'positive operating cash flow', 'no share dilution', 'gross margin improving']","['F-Score 4/9 below 7', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'asset turnover improving']","{'f_score': 4, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
C5H.IR,composite_value,Composite Value,False,0.491,['top-tier on trailing_pe (percentile 83%)'],[],
C5H.IR,earnings_quality,Earnings Quality,False,0.3333,['ratio=4.75%'],"['weak free-cash conversion', 'operating cash below earnings']",
C5H.IR,financial_health,Financial Health,True,1.0,"['D/E=28%', 'leverage=17.8%', 'CR=5.12', 'ratio=1.0', 'coverage=11.0x']",[],
DQ7A.IR,graham_defensive,Graham Defensive,False,0.75,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=0.78', 'Current ratio >= 2: CR=16.25', 'Dividend payer: yield=304.00%']",['no positive trailing P/E'],
DQ7A.IR,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=0.78', 'Positive earnings growth: growth=210.0%']","['missing P/E', 'excessive leverage', 'ROE <= 8%']",
DQ7A.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
DQ7A.IR,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=0.78'],['too much leverage'],
DQ7A.IR,deep_value,Deep Value,True,1.0,"['P/B=0.78', 'EV/EBITDA=1.8']",[],
