ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
0002.HK,neff_pegy,Neff PEGY,True,0.9528,"['PEGY=0.05', 'growth=-16.4%', 'yield=413.0%']",[],
0002.HK,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=12.1%', 'Debt/equity < 80%: D/E=54%', 'P/E < 20: P/E=18.7']","['ROE below 12%', 'FCF yield below 3%']",
0002.HK,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=54%', 'margin >= 8%: margin=12.1%', 'P/E < 25.0: P/E=18.7']",['ROE too low'],
0002.HK,economic_moat,Economic Moat,False,0.25,['wide margin=12.1%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
0002.HK,high_dividend,High Dividend Yield,False,0.4805,"['yield=413.0%', 'universe rank 48%']",['not in top quartile for yield'],
0002.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=413.0%', 'reasonable P/E: P/E=18.7']",['earnings not growing'],
0002.HK,magic_formula,Magic Formula,False,0.4029,[],['below top half on combined Magic Formula rank'],
0002.HK,acquirers_multiple,Acquirer's Multiple,False,0.4156,"['EV/EBIT=16.4', 'universe rank 42%']","['EV/EBIT 16.4 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
0002.HK,dreman_contrarian,Dreman Contrarian,False,0.4032,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
0002.HK,piotroski_f,Piotroski F-Score,False,0.6667,"['F-Score=6/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'no share dilution', 'gross margin improving']","['F-Score 6/9 below 7', 'ROA improving', 'current ratio improving', 'asset turnover improving']","{'f_score': 6, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
0002.HK,composite_value,Composite Value,False,0.3917,[],[],
0002.HK,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=2.29', 'ratio=-5.75%']",['weak free-cash conversion'],
0002.HK,financial_health,Financial Health,False,0.8,"['D/E=54%', 'leverage=26.0%', 'ratio=2.5', 'coverage=9.9x']",['weak liquidity'],
0003.HK,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=501.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
0003.HK,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=23.3', 'P/B < 3: P/B=2.19', 'Debt/equity < 100%: D/E=86%', 'ROE > 8%: ROE=9.6%', 'Positive earnings growth: growth=2.1%']",[],
0003.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
0003.HK,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
0003.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
0003.HK,earnings_yield,Earnings Yield,False,0.3582,['E/P=4.3% (P/E=23.3)'],['earnings yield 4.3% below 8%'],
0003.HK,fcf_yield,FCF Yield,False,0.1986,['FCF yield=2.0%'],['FCF yield 2.0% below 5%'],
0003.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=501.0%'],['P/E not below 12.0'],
0003.HK,lynch_peg,Lynch PEG,False,0.0,"['PEG=11.08', 'growth=2.1%']","['growth 2.1% below 5% floor', 'PEG 11.08 >= 1.0']",
0003.HK,neff_pegy,Neff PEGY,True,0.9538,"['PEGY=0.05', 'growth=2.1%', 'yield=501.0%']",[],
0003.HK,quality_value,Quality Value,False,0.2,['Profit margin >= 5%: margin=10.5%'],"['ROE below 12%', 'high leverage', 'P/E >= 20', 'FCF yield below 3%']",
0003.HK,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=10.5%', 'P/E < 25.0: P/E=23.3']","['ROE too low', 'too much debt']",
0003.HK,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
0003.HK,high_dividend,High Dividend Yield,False,0.6234,"['yield=501.0%', 'universe rank 62%']",['not in top quartile for yield'],
0003.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=501.0%', 'reasonable P/E: P/E=23.3']",['earnings not growing'],
0003.HK,magic_formula,Magic Formula,False,0.2847,[],['below top half on combined Magic Formula rank'],
0003.HK,acquirers_multiple,Acquirer's Multiple,False,0.2468,"['EV/EBIT=24.0', 'universe rank 25%']","['EV/EBIT 24.0 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
0003.HK,dreman_contrarian,Dreman Contrarian,False,0.3727,['dividend rank 62%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
0003.HK,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'no share dilution']","['F-Score 4/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 4, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
0003.HK,composite_value,Composite Value,False,0.3833,[],[],
0003.HK,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=1.85', 'ratio=-2.96%']",['weak free-cash conversion'],
0003.HK,financial_health,Financial Health,False,0.4,"['leverage=37.3%', 'coverage=4.1x']","['high debt to equity', 'weak liquidity', 'high net debt/EBITDA']",
0006.HK,graham_defensive,Graham Defensive,False,0.5,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=1.39', 'Dividend payer: yield=476.00%']","['P/E >= 15', 'current ratio < 2']",
0006.HK,graham_enterprising,Graham Enterprising,False,0.8,"['P/E < 25: P/E=20.2', 'P/B < 3: P/B=1.39', 'Debt/equity < 100%: D/E=4%', 'Positive earnings growth: growth=2.6%']",['ROE <= 8%'],
0006.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
0006.HK,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=4%'],['P/B too high'],
0006.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
0006.HK,earnings_yield,Earnings Yield,False,0.4124,['E/P=4.9% (P/E=20.2)'],['earnings yield 4.9% below 8%'],
0006.HK,fcf_yield,FCF Yield,False,0.0,['FCF yield=-0.0%'],['FCF yield -0.0% below 5%'],
0006.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=476.0%'],['P/E not below 12.0'],
0006.HK,lynch_peg,Lynch PEG,False,0.0,"['PEG=7.77', 'growth=2.6%']","['growth 2.6% below 5% floor', 'PEG 7.77 >= 1.0']",
0006.HK,neff_pegy,Neff PEGY,True,0.9578,"['PEGY=0.04', 'growth=2.6%', 'yield=476.0%']",[],
0006.HK,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=808.8%', 'Debt/equity < 80%: D/E=4%']","['ROE below 12%', 'P/E >= 20', 'FCF yield below 3%']",
0006.HK,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=4%', 'margin >= 8%: margin=808.8%', 'P/E < 25.0: P/E=20.2']",['ROE too low'],
0006.HK,economic_moat,Economic Moat,False,0.5,"['wide margin=808.8%', 'low leverage D/E=4%']","['ROE below 18%', 'ROA below 8%']",
